Genome_ID,Trait
GCA_000259025_1,1
GCA_000271985_2,1
GCA_000359565_1,1
GCA_000412735_1,1
GCA_000480355_1,1
GCA_000480375_1,1
GCA_000480645_1,0
GCA_000480665_1,1
GCA_000480685_1,1
GCA_000480705_1,0
GCA_000480725_1,0
GCA_000480745_1,0
GCA_000480765_1,1
GCA_000480785_1,0
GCA_000480805_1,0
GCA_000480825_1,0
GCA_000480845_1,0
GCA_000480865_1,0
GCA_000480885_1,0
GCA_000480925_1,1
GCA_000480945_1,1
GCA_000480965_1,0
GCA_000480985_1,0
GCA_000481005_1,1
GCA_000481025_1,1
GCA_000481045_1,1
GCA_000481065_1,0
GCA_000481125_1,1
GCA_000481205_1,1
GCA_000481225_1,1
GCA_000481245_1,1
GCA_000481265_1,1
GCA_000481285_1,1
GCA_000481305_1,1
GCA_000481325_1,1
GCA_000481345_1,1
GCA_000481365_1,1
GCA_000481385_1,1
GCA_000481405_1,1
GCA_000481425_1,1
GCA_000481445_1,1
GCA_000481465_1,1
GCA_000481485_1,1
GCA_000481525_1,1
GCA_000481545_1,1
GCA_000481565_1,1
GCA_000481605_1,1
GCA_000481645_1,1
GCA_000481665_1,1
GCA_000481685_1,1
GCA_000481705_1,0
GCA_000481725_1,1
GCA_000481745_1,0
GCA_000481765_1,0
GCA_000481885_1,1
GCA_000481905_1,1
GCA_000481925_1,1
GCA_000481945_1,1
GCA_000481965_1,1
GCA_000481985_1,1
GCA_000482005_1,1
GCA_000482025_1,1
GCA_000504045_1,0
GCA_000510305_1,1
GCA_000520255_1,1
GCA_000520295_1,1
GCA_000520315_1,0
GCA_000520335_1,0
GCA_000520375_1,1
GCA_000520395_1,1
GCA_000568215_1,1
GCA_000568235_2,1
GCA_000629045_1,1
GCA_000629065_1,1
GCA_000629085_1,1
GCA_000629105_1,1
GCA_000629125_1,0
GCA_000629145_1,1
GCA_000632755_1,1
GCA_000633495_1,1
GCA_000647595_2,0
GCA_000705155_1,1
GCA_000705215_1,1
GCA_000710625_1,1
GCA_000737795_1,0
GCA_000757505_1,1
GCA_000763245_3,1
GCA_000789485_1,1
GCA_000789495_1,0
GCA_000789535_1,1
GCA_000789625_1,0
GCA_000789635_1,0
GCA_000789755_1,1
GCA_000789785_1,0
GCA_000789885_1,1
GCA_000789905_1,1
GCA_000790035_1,1
GCA_000790105_1,1
GCA_000790155_1,1
GCA_000790205_1,1
GCA_000790215_1,1
GCA_000790265_1,0
GCA_000790285_1,1
GCA_000790345_1,0
GCA_000790355_1,1
GCA_000790405_1,0
GCA_000790425_1,1
GCA_000790465_1,3
GCA_000790485_1,1
GCA_000790525_1,1
GCA_000790545_1,1
GCA_000790605_1,1
GCA_000790625_1,1
GCA_000790655_1,1
GCA_000790705_1,1
GCA_000790825_1,1
GCA_000790835_1,0
GCA_000790865_1,1
GCA_000790885_1,0
GCA_000790905_1,1
GCA_000790985_1,0
GCA_000791005_1,0
GCA_000791035_1,0
GCA_000791065_1,1
GCA_000791125_1,0
GCA_000791185_1,1
GCA_000791205_1,1
GCA_000791225_1,1
GCA_000791235_1,0
GCA_000791275_1,1
GCA_000791325_1,1
GCA_000791345_1,1
GCA_000791365_1,0
GCA_000791405_1,1
GCA_000791445_1,1
GCA_000791465_1,1
GCA_000791495_1,0
GCA_000791545_1,1
GCA_000791765_1,0
GCA_000791785_1,1
GCA_000791805_1,0
GCA_000791825_1,1
GCA_000791835_1,1
GCA_000791885_1,1
GCA_000791905_1,1
GCA_000791915_1,0
GCA_000792095_1,1
GCA_000792115_1,1
GCA_000792145_1,1
GCA_000792155_1,1
GCA_000792165_1,1
GCA_000792205_1,0
GCA_000792245_1,1
GCA_000792265_1,1
GCA_000792285_1,0
GCA_000792305_1,1
